title,category,ausbildung,ams_id,slug,salary_min_eur,salary_max_eur,outlook_text,outlook_trend,employment_sectors,url
3D-DesignerIn,"Grafik, Design",Uni/FH/PH (University),3049,3049-3D-DesignerIn,2410,2410,,neutral,,https://www.berufslexikon.at/berufe/3049-3D-DesignerIn/
AbfallbeauftragteR,"Umweltconsulting, -forschung und -pädagogik",Sonstige,3866,3866-AbfallbeauftragteR,2460,2460,,neutral,,https://www.berufslexikon.at/berufe/3866-AbfallbeauftragteR/
AbfallberaterIn,"Wirtschaftsberatung, Unternehmensdienstleistungen",Uni/FH/PH (University),3200,3200-AbfallberaterIn,3060,3060,,neutral,,https://www.berufslexikon.at/berufe/3200-AbfallberaterIn/
AbfallwirtschaftstechnikerIn,"Umwelttechnologie, Nachhaltigkeit",Schule (Vocational School),2147,2147-AbfallwirtschaftstechnikerIn,2460,3400,,neutral,,https://www.berufslexikon.at/berufe/2147-AbfallwirtschaftstechnikerIn/
AbnahmetechnikerIn,Wirtschaft und Technik,Schule (Vocational School),3696,3696-AbnahmetechnikerIn,2460,3490,,neutral,,https://www.berufslexikon.at/berufe/3696-AbnahmetechnikerIn/
AbwassertechnikerIn,"Umwelttechnologie, Nachhaltigkeit",Lehre (Apprenticeship),3818,3818-Entsorgungsfachkraft_fuer_Abwassertechnik,2460,2460,,neutral,,https://www.berufslexikon.at/berufe/3818-Entsorgungsfachkraft_fuer_Abwassertechnik/
Aerobic-TrainerIn,"Sport, Sportunterricht",Sonstige,2814,2814-Aerobic-TrainerIn,,,,neutral,,https://www.berufslexikon.at/berufe/2814-Aerobic-TrainerIn/
AfrikanistIn,"Geistes-, Kultur- und Humanwissenschaften",Uni/FH/PH (University),2963,2963-AfrikanistIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/2963-AfrikanistIn/
AgrarberaterIn,"Landbau, Viehwirtschaft, Tierbetreuung",Schule (Vocational School),1934,1934-AgrarberaterIn,2320,2500,,neutral,,https://www.berufslexikon.at/berufe/1934-AgrarberaterIn/
Agrarbiologe/-biologin,"Landbau, Viehwirtschaft, Tierbetreuung",Uni/FH/PH (University),2987,2987-Agrarbiologe~Agrarbiologin,2780,2780,,neutral,,https://www.berufslexikon.at/berufe/2987-Agrarbiologe~Agrarbiologin/
Agrarkaufmann/Agrarkauffrau,"Landbau, Viehwirtschaft, Tierbetreuung",Schule (Vocational School),1935,1935-Agrarkaufmann~Agrarkauffrau,2090,2830,,neutral,,https://www.berufslexikon.at/berufe/1935-Agrarkaufmann~Agrarkauffrau/
AgrarmanagerIn,"Umwelt-, Natur- und Landschaftsgestaltung",Uni/FH/PH (University),3835,3835-AgrarmanagerIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/3835-AgrarmanagerIn/
AgrarökonomIn,"Landbau, Viehwirtschaft, Tierbetreuung",Uni/FH/PH (University),2593,2593-AgraroekonomIn,3010,3010,,neutral,,https://www.berufslexikon.at/berufe/2593-AgraroekonomIn/
AktuarIn,"Bank-, Finanz- und Versicherungswesen",Uni/FH/PH (University),2468,2468-AktuarIn,3270,3270,,neutral,,https://www.berufslexikon.at/berufe/2468-AktuarIn/
AkustikerIn,"Naturwissenschaften, Lebenswissenschaften",Uni/FH/PH (University),3050,3050-AkustikerIn,3340,3340,,neutral,,https://www.berufslexikon.at/berufe/3050-AkustikerIn/
AkustikphysikerIn,"Naturwissenschaften, Lebenswissenschaften",Uni/FH/PH (University),3051,3051-AkustikphysikerIn,3340,3340,,neutral,,https://www.berufslexikon.at/berufe/3051-AkustikphysikerIn/
